movie,character,director,movie_duration,release_date,total_wows_in_movie,year
Bottle Rocket,Dignan,Wes Anderson,01:31:44,1996-02-21,3,1996
The Haunting,Luke Sanderson,Jan de Bont,01:52:37,1999-07-23,5,1999
Breakfast of Champions,Monte Rapid,Alan Rudolph,01:49:49,1999-09-17,1,1999
Shanghai Noon,Roy O'Bannon,Tom Dey,01:50:18,2000-05-23,1,2000
Meet the Parents,Kevin Rawley,Jay Roach,01:47:39,2000-10-06,2,2000
Zoolander,Hansel McDonald,Ben Stiller,01:29:12,2001-09-28,1,2001
I Spy,Alexander Scott,Betty Thomas,01:36:35,2002-10-23,3,2002
Shanghai Knights,Roy O'Bannon,David Dobkin,01:54:21,2003-02-03,4,2003
The Big Bounce,Jack Ryan,George Armitage,01:28:10,2004-01-30,2,2004
Starsky & Hutch,Ken Hutchinson,Todd Phillips,01:40:30,2004-03-05,1,2004
Wedding Crashers,John Beckwith,David Dobkin,02:07:01,2005-07-15,6,2005
Cars,Lightning McQueen,John Lasseter,01:56:36,2006-06-09,5,2006
"You, Me and Dupree",Dupree,Joe Russo and Anthony Russo,01:49:24,2006-07-14,1,2006
The Darjeeling Limited,Francis,Wes Anderson,01:31:46,2007-10-26,1,2007
Drillbit Taylor,Drillbit Taylor,Steven Brill,01:50:10,2008-03-21,2,2008
Marley & Me,John Grogan,David Frankel,01:55:32,2008-12-25,3,2008
Marmaduke,Marmaduke,Tom Dey,01:28:10,2010-06-04,4,2010
Little Fockers,Kevin Rawley,Paul Weitz,01:37:40,2010-12-22,2,2010
Hall Pass,Rick Mills,Peter Farrelly and Bobby Farrelly,01:51:35,2011-02-25,6,2011
Midnight in Paris,Gil Pender,Woody Allen,01:33:57,2011-05-20,10,2011
Cars 2,Lightning McQueen,John Lasseter,01:47:01,2011-06-18,1,2011
The Big Year,Kenny Bostick,David Frankel,01:43:09,2011-10-14,3,2011
The Internship,Nick Campbell,Shawn Levy,02:05:02,2013-05-29,5,2013
Free Birds,Reggie,Jimmy Hayward,01:31:03,2013-11-01,3,2013
Are You Here,Steve Dallas,Matthew Weiner,01:54:05,2014-08-22,2,2013
Night at the Museum: Secret of the Tomb,Jedediah Smith,Shawn Levy,01:37:48,2014-12-11,1,2014
No Escape,Jack Dwyer,John Erick Dowdle,01:43:06,2015-08-26,2,2015
Cars 3,Lighting McQueen,Brian Fee,01:42:25,2017-05-23,10,2017
Father Figures,Kyle Reynolds,Lawrence Sher,01:52:50,2017-12-13,1,2017
